,price,price_per_m,postal_code,location,type,area,room
0,366 800,4 795 ,22410, Saint-Quay-Portrieux,Appartement,73,3
1,131 000,2 977 ,94350, Villiers-sur-Marne (Les Boutareines - Les Armoiries),Appartement,44,2
2,499 000,2 988 ,28630, Barjouville,Maison,167,6
3,342 000,2 591 ,28630, Morancez,Maison,132,5
4,347 000,1 826 ,28190, Billancelles,Maison,190,7
5,593 000,1 977 ,28630, Fontenay-sur-Eure,Maison,300,6
6,149 000,2 023 ,28120, Chauffours,Maison,74,3
7,179 000,2 632 ,28110, Lucé (Centre-ville),Appartement,68,3
8,266 000,3 167 ,28000, Chartres (Centre-ville),Appartement,84,3
9,312 000,2 400 ,28000, Chartres (Rechèvres),Maison,130,6
10,316 000,2 873 ,28130, Bouglainval,Maison,110,5
11,319 000,2 948 ,28000, Chartres (Centre-ville),Maison,108,5
12,357 000,2 380 ,28700, Auneau-Bleury-Saint-Symphorien,Maison,150,5
13,436 000,1 896 ,28000, Chartres (Fulbert),Maison,230,9
14,260 000,2 549 ,28300, Fresnay-le-Gilmert,Maison,102,5
15,190 000,2 714 ,28000, Chartres (Centre-ville),Appartement,70,3
16,212 500,2 157 ,28360, La Bourdinière-Saint-Loup,Maison,99,4
17,284 000,1 623 ,28300, Gasville-Oisème,Maison,175,4
18,499 000,5 293 ,78280, Guyancourt (Village),Maison,94,6
19,745 500,5 691 ,78180, Montigny-le-Bretonneux (Le Manet),Maison,131,7
20,449 000,4 526 ,78370, Plaisir (Centre-ville - Château),Maison,95,5
21,359 000,3 799 ,78370, Plaisir (Bontemps - Valibout),Maison,91,5
22,357 000,6 611 ,78114, Magny-les-Hameaux,Maison,54,2
23,372 000,3 509 ,78280, Guyancourt (Le Pont du Routoir),Appartement,106,5
24,259 500,1 996 ,28110, Lucé (Petit Lucé - Poiffonds),Maison,130,5
25,151 000,151 0,78960, Voisins-le-Bretonneux,Appartement,25,1
26,109 800,1 664 ,84260, Sarrians,Maison,66,3
27,339 000,3 927 ,33000, Bordeaux (Saint-Pierre),Appartement,82,3
28,199 500,6 496 ,78180, Montigny-le-Bretonneux (Le Village),Appartement,29,1
29,230 000,230 0,78960, Voisins-le-Bretonneux,Appartement,47,2
30,790 000,4 570 ,78230, Le Pecq (Cité),Maison,166,6
31,227 900,2 578 ,78370, Plaisir (Ebisoires),Appartement,83,4
32,90 000,4 552 ,28000, Chartres (Hôtel Dieu - Grand Faubourg),Appartement,20,1
33,97 440,2 953 ,28000, Chartres (Rechèvres),Appartement,33,1
34,225 900,3 530 ,28300, Lèves,Maison,64,3
35,272 000,1 478 ,28700, Denonville,Maison,184,6
36,329 000,2 531 ,28360, Prunay-le-Gillon,Maison,130,6
37,262 500,3 556 ,78180, Montigny-le-Bretonneux (Les Prés),Appartement,74,3
38,299 000,299 0,78180, Montigny-le-Bretonneux (Le Village),Appartement,63,3
39,378 000,4 444 ,78180, Montigny-le-Bretonneux (Le Manet),Appartement,85,4
40,745 000,8 572 ,78000, Versailles (Chantiers),Appartement,83,4
41,199 900,4 758 ,78370, Plaisir (Gâtines - Boissière - Mare aux Saules),Appartement,40,2
42,472 500,3 659 ,78370, Plaisir (Gâtines - Boissière - Mare aux Saules),Maison,123,6
43,220 000,3 509 ,28600, Luisant,Maison,63,3
44,185 000,3 304 ,28000, Chartres (Rechèvres),Appartement,56,2
45,81 000,3 020 ,28110, Lucé (Centre-ville),Appartement,27,1
46,195 000,1 393 ,28300, Gasville-Oisème,Maison,140,5
47,224 640,3 231 ,28600, Luisant,Maison,70,4
48,257 000,1 658 ,28120, Vieuvicq,Maison,155,6
49,262 500,2 019 ,28000, Chartres,Maison,130,6
50,265 000,2 598 ,28000, Chartres (Fulbert),Maison,102,4
51,299 000,2 492 ,28300, Champhol,Maison,120,5
52,158 000,1 699 ,89690, Chéroy,Maison,93,5
53,499 900,6 492 ,93500, Pantin (Verpantin - Sept Arpents),Appartement,77,4
54,630 000,1 400 ,28700, Francourville,Maison,450,9
55,426 400,4 307 ,78280, Guyancourt (Le Pont du Routoir),Appartement,99,4
56,441 000,3 128 ,78190, Trappes (Village - Cité Nouvelle),Maison,141,5
57,488 000,4 207 ,78960, Voisins-le-Bretonneux,Maison,116,5
58,525 000,525 0,78280, Guyancourt (Le Pont du Routoir),Appartement,91,4
59,2 350 000,"16,5k ",75007, Paris 7e (Breteuil),Appartement,136,5
60,440 000,440 0,78000, Versailles (Jussieu - Petits Bois - Picardie),Appartement,84,4
61,750 000,6 521 ,78000, Versailles (Clagny Glatigny),Appartement,110,5
62,795 000,6 757 ,78000, Versailles (Porchefontaine),Maison,115,6
63,405 000,6 746 ,78000, Versailles (Notre Dame),Appartement,60,4
64,1 190 000,5 815 ,78000, Versailles (Notre Dame),Duplex,197,6
65,980 000,4 700 ,78280, Guyancourt (Zones d'activités - Hameau de Bouviers - Hameau de la Minière),Maison,200,7
66,289 000,4 561 ,78370, Plaisir (Ebisoires),Appartement,60,3
67,458 000,4 028 ,94400, Vitry-sur-Seine (Les Ardoines),Maison,108,4
68,2 750 000,9 885 ,94170, Le Perreux-sur-Marne (Centre-ville - Quais d'Argonne),Maison,262,10
69,595 000,7 635 ,75014, Paris 14e (Montsouris - Dareau),Appartement,74,3
70,1 099 000,4 240 ,92160, Antony (Baconnets),Maison,250,5
71,870 000,5 438 ,78670, Villennes-sur-Seine,Maison,160,7
72,1 092 600,4 649 ,93100, Montreuil (Signac - Mûrs à Pêches),Maison,235,8
73,950 000,"13,2k ",75007, Paris 7e (Champ de Mars),Appartement,70,4
74,1 750 000,6 250 ,78600, Maisons-Laffitte (Ouest),Maison,280,9
75,150 000,1 899 ,28600, Luisant,Appartement,79,3
76,220 000,2 105 ,28110, Lucé (Centre-ville),Appartement,104,4
77,255 250,2 075 ,28130, Maintenon,Maison,123,5
78,350 000,6 735 ,06400, Cannes (Pointe Croisette),Appartement,49,2
79,1 150 000,1 150 0,75005, Paris 5e (Val de Grâce),Appartement,75,4
80,450 000,5 679 ,78000, Versailles (Chantiers),Appartement,75,3
81,456 000,7 216 ,78000, Versailles (Chantiers),Appartement,60,3
82,540 000,4 036 ,78370, Plaisir (Gâtines - Boissière - Mare aux Saules),Maison,129,6
83,279 000,4 590 ,78280, Guyancourt (Le Parc - Les Saules),Appartement,61,3
84,356 500,5 441 ,78180, Montigny-le-Bretonneux (Le Village),Appartement,66,3
85,647 500,"10,4k ",75011, Paris 11e (République - Saint-Ambroise),Appartement,62,3
86,4 800 000,8 712 ,94170, Le Perreux-sur-Marne (Thillards),Maison,520,10
87,325 600,"13,9k ",75007, Paris 7e (Champ de Mars),Appartement,23,1
88,1 100 000,10k ,75014, Paris 14e (Mouton - Duvernet),Appartement,105,6
89,460 000,6 199 ,92600, Asnières-sur-Seine (Centre-ville),Appartement,74,3
90,660 000,"10,5k ",75009, Paris 9e (Clichy - Trinité),Appartement,60,3
91,829 900,3 772 ,44100, Nantes (Zola - Dervallières),Maison,220,7
92,400 000,6 691 ,78000, Versailles (Notre Dame),Appartement,57,3
93,414 000,2 229 ,77450, Esbly,Maison,186,6
94,319 000,5 696 ,92410, Ville-d'Avray,Appartement,56,3
95,480 000,4 286 ,44000, Nantes (Centre-ville),Appartement,112,5
96,570 000,"10,5k ",75013, Paris 13e (Patay - Masséna),Duplex,52,3
97,630 000,5 888 ,93100, Montreuil (Bas Montreuil - Bobillot),Appartement,107,4
98,162 000,1 976 ,87000, Limoges (Centre-ville - Hôtel de Ville - Emailleurs),Appartement,82,4
99,1 185 600,6 409 ,78000, Versailles (Notre Dame),Appartement,185,7
100,375 000,5 769 ,78000, Versailles (Clagny Glatigny),Appartement,65,4
101,369 000,3 530 ,78370, Plaisir (Gâtines - Boissière - Mare aux Saules),Maison,100,6
102,1 648 000,6 275 ,78150, Le Chesnay (Saint-Antoine de Padoue),Maison,255,9
103,490 000,7 424 ,75018, Paris 18e (La Chapelle - Marx Dormoy),Appartement,66,2
104,865 000,2 029 ,31330, Merville,Maison,410,11
105,478 000,5 690 ,63000, Clermont-Ferrand (Jaude - Fontgiève Saint-Alyre),Appartement,84,3
106,649 000,2 377 ,91150, Étampes (Centre-Ville),Maison,273,9
107,433 000,4 010 ,78180, Montigny-le-Bretonneux (La Sourderie Sud),Maison,103,4
108,329 700,3 400 ,78120, Rambouillet (Groussay - Providence - Gommerie - Vernes - Dreyfus),Appartement,92,4
109,1 200 000,8 214 ,92500, Rueil-Malmaison (Coteaux),Maison,140,7
110,320 000,3 200 ,38150, Salaise-sur-Sanne,Maison,100,4
111,669 000,2 593 ,01800, Meximieux,Maison,258,7
112,209 000,3 483 ,69690, Bessenay,Maison,60,3
113,209 000,3 483 ,69210, L'Arbresle,Maison,60,3
114,90 000,1 471 ,87000, Limoges (Bénédictins - Montplaisir),Appartement,61,2
115,415 000,5 321 ,06300, Nice (Riquier),Appartement,78,3
116,220 000,2 067 ,47450, Colayrac-Saint-Cirq,Maison,106,5
117,549 000,4 097 ,38780, Septème,Maison,134,6
118,799 000,4 932 ,69008, Lyon 8e (Monplaisir),Appartement,162,5
119,850 000,8 300 ,75015, Paris 15e (Georges Brassens),Appartement,100,4
120,367 500,2 800 ,67230, Benfeld,Maison,125,5
121,195 000,848 ,23000, Guéret (Centre-ville - La Rodde - Champegaud),Maison,230,7
122,114 500,1 864 ,87000, Limoges (Le Sablard - Limoges Sud),Appartement,61,3
123,758 000,"12,5k ",75005, Paris 5e (Jardin des Plantes),Appartement,57,3
124,390 000,2 422 ,69200, Vénissieux (Centre-ville),Maison,161,6
125,739 000,3 437 ,69008, Lyon 8e (Bachut - Transvaal),Maison,215,6
126,298 000,1 753 ,01310, Confrançon,Maison,170,4
